isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado
True,0,2025-07-18 11:03:37.735000+00:00,De 10 a 30 min,4.0,5.0,5.0,63,5,Un sitio de excelente comidas a la carta,Rukito Grill&Drink - Alborada,True,Un sitio de excelente comidas a la carta,es
True,0,2023-08-10 19:34:48.308000+00:00,,4.0,4.0,4.0,66,4,"Parece que la popularidad, los esta haciendo descuidados. Lo bueno no es llegar a cima sino mantener en ella. Y aunque eso es difícil no es imposible. ESTAN DESCUIDADO A SU CLIENTELA.",Rukito Grill&Drink - Alborada,True,"Parece que la popularidad, los esta haciendo descuidados. Lo bueno no es llegar a cima sino mantener en ella. Y aunque eso es difícil no es imposible. ESTAN DESCUIDADO A SU CLIENTELA.",es
False,1,2020-12-23 15:04:40.502000+00:00,,,,,3,1,"Muy bueno pero el sabor, cantidad y tamaño no justifica los precios",Rukito Grill&Drink - Alborada,True,"Muy bueno pero el sabor, cantidad y tamaño no justifica los precios",es
True,0,2024-02-16 02:15:31.166000+00:00,,4.0,5.0,5.0,62,5,"Muy buena comida, carne en su punto con un toque de la casa, recomendado.",Rukito Grill&Drink - Alborada,True,"Muy buena comida, carne en su punto con un toque de la casa, recomendado.",es
True,0,2022-02-03 20:43:07.818000+00:00,,,,,34,3,Sinceramente no me gustó la comida la carne estaba sazonada con canela y desde mi criterio no era de la forma correcta era una carne a termino medio que no estaba realizada de la forma correcta.,Rukito Grill&Drink - Alborada,True,Sinceramente no me gustó la comida la carne estaba sazonada con canela y desde mi criterio no era de la forma correcta era una carne a termino medio que no estaba realizada de la forma correcta.,es
True,1,2020-11-15 04:35:37.382000+00:00,,,,,8,3,"Comida muy buena, la atencion maso y el tiempo en entregar la comida fue bastante",Rukito Grill&Drink - Alborada,True,"Comida muy buena, la atencion maso y el tiempo en entregar la comida fue bastante",es
True,0,2021-03-19 14:46:07.841000+00:00,,,,,101,5,"Es un lugar acojedor,impecable,excelente atención y sobre todo la comida es riquísima ,felicitaciones",Rukito Grill&Drink - Alborada,True,"Es un lugar acojedor,impecable,excelente atención y sobre todo la comida es riquísima ,felicitaciones",es
False,0,2025-02-10 06:30:38.900000+00:00,,5.0,5.0,5.0,7,5,Lo maximo como siempre.. Sus salsas y cebolla caramelizada 🤤🤤,Rukito Grill&Drink - Alborada,True,Lo maximo como siempre.. Sus salsas y cebolla caramelizada 🤤🤤,es
False,0,2022-05-02 03:53:39.543000+00:00,,,,,5,2,"Comida con bien sabor, aunque la proteína bastante dura, servicio y atención deficiente, mejorar esos aspectos",Rukito Grill&Drink - Alborada,True,"Comida con bien sabor, aunque la proteína bastante dura, servicio y atención deficiente, mejorar esos aspectos",es
False,2,2022-09-02 04:45:47.002000+00:00,,,,,1,1,"Esperaba más de Rukito por sus publicidades se veía genial la comida pero ya cuando fui, no lleno mis espectativas. Que lastima😓",Rukito Grill&Drink - Alborada,True,"Esperaba más de Rukito por sus publicidades se veía genial la comida pero ya cuando fui, no lleno mis espectativas. Que lastima😓",es
