isLocalGuide,likesCount,fecha,tiempo_espera_reportado,rating_ambiente,rating_comida,rating_servicio,reviewerNumberOfReviews,rating,review_texto,restaurante,tiene_texto,text_limpio,idioma_detectado,sentimiento,prob_positivo,prob_negativo,prob_neutral
True,0,2024-12-07 23:35:17.278000+00:00,,5.0,5.0,5.0,382,5,Delicioso!,Casa Res | Steak House (Mall del Sol),True,Delicioso!,es,NEU,0.32005760073661804,0.18162086606025696,0.498321533203125
False,0,2021-08-07 17:23:00.995000+00:00,,,,,2,5,Excelente atención,Casa Res | Steak House (Mall del Sol),True,Excelente atención,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
True,0,2020-10-14 18:44:37.195000+00:00,,,,,177,5,Excelente atención,Casa Res | Steak House (Mall del Sol),True,Excelente atención,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
True,0,2020-08-18 20:06:11.609000+00:00,,,,,12,5,Excelente servicio,Casa Res | Steak House (Mall del Sol),True,Excelente servicio,es,POS,0.5825915932655334,0.051172979176044464,0.36623549461364746
True,0,2020-07-26 00:20:00.531000+00:00,,,,,49,5,Excelente atención,Casa Res | Steak House (Mall del Sol),True,Excelente atención,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
True,0,2020-01-19 18:00:02.040000+00:00,,,,,41,5,Excelente atención,Casa Res | Steak House (Mall del Sol),True,Excelente atención,es,POS,0.5032982230186462,0.07913434505462646,0.41756752133369446
False,0,2026-08-11 15:12:00.114000+00:00,,2.0,1.0,,0,1,"Pésimo servicio, atención muy mala, tardaron en traerme la comida, llegó fría",Casa Res | Steak House (Mall del Sol),True,"Pésimo servicio, atención muy mala, tardaron en traerme la comida, llegó fría",es,NEG,0.004396883305162191,0.9726060032844543,0.022997083142399788
False,0,2026-08-10 21:33:39.872000+00:00,,4.0,1.0,,1,5,Mi moro meloso no estaba gratinada porque una mesera no lo puso en mi orden. Pésimo servicio,Casa Res | Steak House (Mall del Sol),True,Mi moro meloso no estaba gratinada porque una mesera no lo puso en mi orden. Pésimo servicio,es,NEG,0.00587124889716506,0.9322534799575806,0.06187528371810913
False,0,2026-08-07 22:32:20.097000+00:00,Sin espera,3.0,2.0,3.0,0,2,"Me tocó comer algo que no pedí, y la verdad ni disfruté, porque 2 veces me dijeron que ya no tenían un platillo.
La comida se demoró en llegar. Así que se tenía que picar lo de la mesa de guarniciones. Y cuando llegó la comida, ya todo estaba frío.",Casa Res | Steak House (Mall del Sol),True,"Me tocó comer algo que no pedí, y la verdad ni disfruté, porque 2 veces me dijeron que ya no tenían un platillo. La comida se demoró en llegar. Así que se tenía que picar lo de la mesa de guarniciones. Y cuando llegó la comida, ya todo estaba frío.",es,NEG,0.004886540584266186,0.9242504239082336,0.0708630159497261
True,0,2026-07-25 20:46:20.024000+00:00,,3.0,,1.0,37,1,"Deficiente atención en la entrada, no disponen de voluntad para atender al público, no se presenta personal para informar del servicio, espacio o tiempo de espera. Pasar 10 minutos sin ser atendidos en la recepción. No sé puede informar de la calidad del servicio precio, etc por retirarnos del local",Casa Res | Steak House (Mall del Sol),True,"Deficiente atención en la entrada, no disponen de voluntad para atender al público, no se presenta personal para informar del servicio, espacio o tiempo de espera. Pasar 10 minutos sin ser atendidos en la recepción. No sé puede informar de la calidad del servicio precio, etc por retirarnos del local",es,NEG,0.0030390198808163404,0.9724038243293762,0.024557042866945267
